event_ns,lane,note_id,stage,judgment,delay_ns
1345998713,1,0,calibration,perfect,365105
1471998587,1,1,calibration,perfect,1046050
1535006134,0,2,calibration,perfect,390985
1547997792,1,3,calibration,perfect,413035
1586999384,0,4,calibration,perfect,899152
1627999235,1,5,calibration,perfect,799135
1653002722,0,6,calibration,perfect,978812
1767999934,1,7,calibration,perfect,1178492
1774998375,0,8,calibration,perfect,815226
1826997570,1,9,calibration,perfect,464021
2109009667,0,10,calibration,perfect,1014590
2136997947,1,11,calibration,perfect,832440
2657000577,1,12,calibration,perfect,907063
2767997660,1,13,calibration,perfect,1166812
2938998289,1,14,calibration,perfect,951317
3001997483,0,15,calibration,perfect,847918
3035000734,1,16,calibration,perfect,812436
3115004328,1,17,calibration,perfect,615977
3175997490,0,18,calibration,perfect,1263425
3207004051,1,19,calibration,perfect,1025350
3450997655,0,20,calibration,perfect,931187
3515004408,1,21,calibration,perfect,477339
3832998165,0,22,calibration,perfect,959467
3845997910,1,23,calibration,perfect,496778
4060997550,1,24,calibration,perfect,808304
4067999932,0,25,calibration,perfect,187378
4107998210,1,26,calibration,perfect,843434
4155997643,0,27,calibration,perfect,540106
4327998565,0,28,calibration,perfect,735321
4544999188,1,29,calibration,perfect,853654
4690999664,0,30,calibration,perfect,592453
4707000581,1,31,calibration,perfect,788436
4772998839,1,32,calibration,perfect,1047124
4796002531,0,33,calibration,perfect,602133
5053007605,0,34,calibration,perfect,1231147
5191778909,0,35,calibration,perfect,490813
5287188336,0,36,calibration,perfect,455622
5293135482,1,37,calibration,perfect,1155007
5350123943,0,38,calibration,perfect,1180085
5354122676,1,39,calibration,perfect,526896
5490127014,0,40,calibration,perfect,1333870
5590124583,1,41,calibration,perfect,1373742
5617125603,0,42,calibration,perfect,1094531
5690123807,0,43,calibration,perfect,286867
5699122661,1,44,calibration,perfect,1151657
5834124022,1,45,calibration,perfect,1190489
5928122907,1,46,calibration,perfect,1027714
11211122594,1,47,scored,perfect,-383844
11346150023,0,48,scored,perfect,64558
11493124109,0,49,scored,perfect,-493051
11504123253,1,50,scored,perfect,-20349
11643133030,0,51,scored,perfect,-217597
11774372005,1,52,scored,perfect,-314513
11798370998,0,53,scored,perfect,-131915
11892368776,1,54,scored,perfect,219970
11904368558,0,55,scored,perfect,-497850
11974368981,1,56,scored,perfect,-580116
12175370397,1,57,scored,perfect,303520
12183373632,0,58,scored,perfect,-445119
12288372370,0,59,scored,perfect,-600022
12331369393,0,60,scored,perfect,-299948
12449368780,1,61,scored,perfect,162876
12452368792,0,62,scored,perfect,-385860
12491369578,1,63,scored,perfect,-249040
12502368802,0,64,scored,perfect,-310333
12651371597,1,65,scored,perfect,-2050
12658369778,0,66,scored,perfect,87864
12760368131,0,67,scored,perfect,148550
13571416067,1,68,scored,perfect,-413772
13661372730,0,69,scored,perfect,113127
13702372658,0,70,scored,perfect,387358
13805372368,1,71,scored,perfect,322248
13916373611,0,72,scored,perfect,-367529
13918371766,1,73,scored,perfect,343384
13983370594,0,74,scored,perfect,-304812
14156374461,1,75,scored,perfect,228488
14216372991,1,76,scored,perfect,-451482
14315373005,0,77,scored,perfect,339677
15036371742,0,78,scored,perfect,-16162
15078372124,1,79,scored,perfect,115620
15129371484,0,80,scored,perfect,446029
15232372392,1,81,scored,perfect,-481313
15268369916,0,82,scored,perfect,43915
15659371909,0,83,scored,perfect,-496425
15691368666,1,84,scored,perfect,-346728
15737370776,1,85,scored,perfect,-520090
15828369309,1,86,scored,perfect,-418667
16046439723,0,87,scored,perfect,372141
16873371688,0,88,scored,perfect,-577097
17008374675,1,89,scored,perfect,315894
17222374892,1,90,scored,perfect,194979
17450368902,0,91,scored,perfect,113842
17654369415,1,92,scored,perfect,-113121
17801368240,1,93,scored,perfect,-386776
17891372900,0,94,scored,perfect,-646169
18352372763,1,95,scored,perfect,64291
18512373937,1,96,scored,perfect,-353488
18636371456,1,97,scored,perfect,133255
18822371319,0,98,scored,perfect,-603641
18896372969,1,99,scored,perfect,-269814
18903371157,0,100,scored,perfect,-358543
19160368972,0,101,scored,perfect,-32320
19267369056,0,102,scored,perfect,-293295
19331368990,0,103,scored,perfect,-493987
19338368974,1,104,scored,perfect,-330402
19534370999,1,105,scored,perfect,54280
19600373233,0,106,scored,perfect,-393247
19619371909,1,107,scored,perfect,-13273
19680372324,1,108,scored,perfect,-449165
19749372226,1,109,scored,perfect,327630
19864369183,0,110,scored,perfect,-448095
19968369856,1,111,scored,perfect,48810
20005369577,0,112,scored,perfect,-51956
20144372352,0,113,scored,perfect,47729
20215372457,1,114,scored,perfect,-283653
20249548732,0,115,scored,perfect,-450919
20308547250,1,116,scored,perfect,162727
20514615663,0,117,scored,perfect,-500842
20576614635,1,118,scored,perfect,-632758
20916615694,1,119,scored,perfect,-346051
20970637766,1,120,scored,perfect,-448718
21101635614,0,121,scored,perfect,32309
21373710255,0,122,scored,perfect,164308
21390712650,1,123,scored,perfect,352820
21541711758,0,124,scored,perfect,356616
21603718386,1,125,scored,perfect,326231
21652720681,1,126,scored,perfect,-478026
21701709057,0,127,scored,perfect,60691
21840712970,0,128,scored,perfect,394627
21849710986,1,129,scored,perfect,182280
22086710425,1,130,scored,perfect,-29223
22916710075,1,131,scored,perfect,-657610
22954709354,0,132,scored,perfect,164874
23169709289,1,133,scored,perfect,84
23198707732,0,134,scored,perfect,-511848
23274716459,0,135,scored,perfect,-642436
23415715401,1,136,scored,perfect,-50231
23825708744,1,137,scored,perfect,-56362
23848707625,0,138,scored,perfect,-54430
23894730637,1,139,scored,perfect,-104945
24177708050,1,140,scored,perfect,171508
24182709661,0,141,scored,perfect,283675
24244708591,0,142,scored,perfect,-221886
24372707814,1,143,scored,perfect,-442663
24407709324,0,144,scored,perfect,-236494
24816709309,1,145,scored,perfect,208756
24896709968,1,146,scored,perfect,-117945
24911708389,0,147,scored,perfect,102284
25014709139,1,148,scored,perfect,24452
25017709526,0,149,scored,perfect,-509629
25055709538,1,150,scored,perfect,-812249
25558709003,1,151,scored,perfect,-589300
25585707743,0,152,scored,perfect,-554856
25622708016,1,153,scored,perfect,-701555
25692711949,1,154,scored,perfect,-294008
25902708099,0,155,scored,perfect,-669889
25987713704,1,156,scored,perfect,154123
26235708455,1,157,scored,perfect,318082
26290708777,0,158,scored,perfect,-340036
26405709007,0,159,scored,perfect,-233263
26430708222,1,160,scored,perfect,-264218
26593708350,0,161,scored,perfect,403160
26731709066,1,162,scored,perfect,-375336
26847708414,1,163,scored,perfect,-631602
27009711372,1,164,scored,perfect,-112155
27131709033,0,165,scored,perfect,-108134
27372707679,1,166,scored,perfect,-557033
27578708346,0,167,scored,perfect,-292282
27590709297,1,168,scored,perfect,361608
27677709205,0,169,scored,perfect,-582941
27765708688,0,170,scored,perfect,248478
27991711953,1,171,scored,perfect,45225
28203708163,1,172,scored,perfect,-285430
28238708265,0,173,scored,perfect,-543797
28253708051,1,174,scored,perfect,22271
