id,lane,target_ns,stage
0,2,1080625792,calibration
1,5,1119512488,calibration
2,6,1138838444,calibration
3,0,1213725869,calibration
4,7,1394251273,calibration
5,2,1550893833,calibration
6,0,1555728666,calibration
7,1,1634141325,calibration
8,3,1650496207,calibration
9,4,1682598187,calibration
10,6,1757645985,calibration
11,5,1810148124,calibration
12,2,1845540473,calibration
13,0,1864594050,calibration
14,7,1880624394,calibration
15,5,1914144139,calibration
16,3,1934456961,calibration
17,0,1995232818,calibration
18,0,2244415804,calibration
19,2,2252563893,calibration
20,3,2328980937,calibration
21,7,2343649124,calibration
22,1,2391121148,calibration
23,0,2555548566,calibration
24,2,2599578458,calibration
25,7,2643167407,calibration
26,0,2657952799,calibration
27,3,2726217008,calibration
28,7,2750838832,calibration
29,6,2757279219,calibration
30,7,2864265289,calibration
31,7,2980626186,calibration
32,4,3112451601,calibration
33,5,3302060412,calibration
34,4,3329351476,calibration
35,0,3339041965,calibration
36,5,3430604950,calibration
37,6,3450718032,calibration
38,2,3482763195,calibration
39,3,3616756976,calibration
40,6,3639082780,calibration
41,7,3751755322,calibration
42,1,3832419675,calibration
43,3,3836720417,calibration
44,6,3888428555,calibration
45,2,3899290850,calibration
46,7,3911090336,calibration
47,6,4028837732,calibration
48,7,4190588715,calibration
49,2,4214382063,calibration
50,6,4274845247,calibration
51,1,4316260690,calibration
52,7,4323864192,calibration
53,6,4411484428,calibration
54,5,4546630986,calibration
55,4,4547774746,calibration
56,6,4576709131,calibration
57,3,4646862204,calibration
58,3,4708497556,calibration
59,0,4724355316,calibration
60,5,4746767647,calibration
61,3,4754908558,calibration
62,4,4839211227,calibration
63,5,4925707271,calibration
64,5,4975280003,calibration
65,2,4987977246,calibration
66,2,5066785637,calibration
67,5,5098056800,calibration
68,6,5160583766,calibration
69,1,5172695261,calibration
70,4,5229481838,calibration
71,7,5339002224,calibration
72,0,5364153625,calibration
73,4,5375088801,calibration
74,6,5389463019,calibration
75,1,5410406748,calibration
76,4,5451453081,calibration
77,3,5484429138,calibration
78,0,5485502245,calibration
79,1,5486009757,calibration
80,2,5502893006,calibration
81,7,5579235350,calibration
82,0,5592432951,calibration
83,6,5611873110,calibration
84,2,5614867642,calibration
85,7,5657901685,calibration
86,4,5714509244,calibration
87,2,5855386833,calibration
88,4,5878210111,calibration
89,4,5921126468,calibration
90,4,5984788383,calibration
91,2,11042202406,scored
92,4,11066175755,scored
93,6,11097111143,scored
94,4,11158864382,scored
95,0,11188479885,scored
96,6,11298864904,scored
97,0,11306789753,scored
98,7,11307534663,scored
99,5,11311408840,scored
100,2,11333064715,scored
101,0,11474243092,scored
102,7,11479679482,scored
103,2,11508510315,scored
104,4,11580359822,scored
105,0,11612200468,scored
106,6,11618930554,scored
107,3,11688822876,scored
108,0,11689753668,scored
109,6,11731516989,scored
110,4,11741767549,scored
111,2,11761580370,scored
112,2,11906705980,scored
113,7,11919505235,scored
114,4,11983205696,scored
115,2,12059869025,scored
116,3,12066214757,scored
117,6,12164762077,scored
118,1,12246096788,scored
119,6,12258476034,scored
120,4,12263943974,scored
121,7,12264963145,scored
122,0,12268829179,scored
123,3,12282393336,scored
124,2,12284309058,scored
125,3,12368508525,scored
126,5,12475172163,scored
127,3,12483257366,scored
128,4,12508875550,scored
129,6,12598074288,scored
130,7,12779532516,scored
131,4,12820689637,scored
132,6,12847138569,scored
133,3,12894403361,scored
134,5,12897024212,scored
135,4,12920634339,scored
136,6,12930396237,scored
137,7,13011497507,scored
138,1,13153148405,scored
139,5,13186743993,scored
140,4,13237684298,scored
141,3,13350777968,scored
142,2,13366813718,scored
143,2,13421745301,scored
144,0,13441380927,scored
145,6,13455818746,scored
146,7,13472658735,scored
147,1,13555704494,scored
148,7,13566500828,scored
149,5,13590122839,scored
150,2,13639101150,scored
151,6,13652531924,scored
152,7,13692128851,scored
153,0,13821610353,scored
154,5,13907777541,scored
155,2,14095849946,scored
156,3,14162479168,scored
157,4,14177227771,scored
158,0,14185875495,scored
159,2,14191488954,scored
160,4,14220500130,scored
161,4,14341692199,scored
162,6,14352692463,scored
163,2,14437896036,scored
164,4,14467456813,scored
